This document is best viewed on desktops and laptops. Copyright Michael Simmons 2017-2019. All Right Reserved.																												
Master one mental model per month starting with the most useful and universals models at http://www.mentalmodelclub.com									Jeff Bezos	Dave McClure	Andy Rachleff	Balaji S. Srinivasan	Paul Graham	Frank Robinson	Ray Dalio	 Robert Metcalfe	Thucydides	Adam Smith	Clayton Christenson	James Clear	Shane Parrish	Gabriel Weinberg	Scott Page	Charlie Munger	Daniel Dennett 	Jack Barker	Hiten Shah	Brandon Chu
Tools About Meaning	A Thing about Redheads	Suppose Pat says that Mike “has a thing about redheads.” What Pat means, roughly, is that Mike has a stereotype of a redhead that is rather derogatory and influences Mike’s expectations about, and interactions with, redheads.  It could turn out that Mike does have a thing, not an idea or a thought or a belief or an image or any of the other traditional things that furnish our conscious experience, but a bit of sub-personal cognitive machinery in his brain, that is about redheads in the sense that it systematically comes into play whenever the topic is redheads or a redhead, and adjusts various parameters of Mike’s cognitive machinery, making flattering hypotheses about redheads less likely to be entertained, or confirmed, making relatively aggressive behavior vis-à-vis redheads closer to implementation than otherwise it would be, and so on.  What is the aim of this intuition pump? It is simply an attempt to suggest that the familiar refrain in support of the language of thought—“What else could it be?”—might have a good answer that would take the wind out of the sails of those who find it obvious. What is the aim of this intuition pump? It is simply an attempt to suggest that the familiar refrain in support of the language of thought—“What else could it be?”—might have a good answer that would take the wind out of the sails of those who find it obvious. I	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	The Wandering Two-Bitser, Twin Earth, and the Giant Robot	Note even though all the robot’s intentional states and acts are derived from your purposes, they are beginning to become detached somewhat from your purposes. Since you designed the robot to “think for itself” to some degree, its “thinking” may escape your anticipated boundaries. For a real-world, nonfictional example of such an artifact, consider a chess-playing computer that can beat its creator at chess. It is true that the only reason we can say that the computer is currently “investigating” queen-side rook options and “deciding” not to castle is that it is an artifact designed by a human artificer to do just that sort of thing.   We are artifacts, designed over the eons as survival machines for genes that cannot act swiftly and informedly in their own interests. Our interests as we conceive of them and the “interests” of our genes may well diverge—even though were it not for our genes’ “interests,” we would not exist. Their preservation is our original raison d ‘être, even if we can learn to ignore that goal and devise our own summum bonum, thanks to the intelligence, the capacity to learn, that our genes have installed in us. So our intentionality is derived from the intentionality of our “selfish” genes. 	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	Radical Translation and a Quinian Crossword Puzzle	Ruth Millikan (for instance) is right that given the nature of design constraints, it is unlikely in the extreme that there could be different ways of skinning the cat that left two radically different, globally indeterminate, tied-for-first-place interpretations. Indeterminacy of radical translation is truly negligible in practice. Still, the principle survives. The reason we don’t have indeterminacy of radical translation is not because, as a matter of metaphysical fact, there are “real meanings” in there, in the head (what Quine called the “museum myth” of meaning, his chief target). The reason we don’t have indeterminacy in the actual world is that with so many independent constraints to satisfy, the cryptographer’s maxim assures us that it is a vanishingly small worry. When indeterminacy threatens in the real world, it is always just more “behavioral” or “dispositional” facts —more of the same—that save the day for a determinate reading, not some mysterious “causal power” or “intrinsic semanticity.” Intentional interpretation almost always arrives in the limit at a single interpretation, but in the imaginable catastrophic case in which dual interpretations survived all tests, there would be no deeper facts to settle which was “right.” Facts do settle interpretations, but it is always “shallow” facts that do the job.	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	Semantic Engines and Syntactic Engines	Brains are energetically very expensive organs, and if they can’t do the important job of destinguish the words meaning, they aren’t earning their keep. Brains, in other words, are supposed to be semantic engines. What brains are made of is kazillions of molecular pieces that interact according to the strict laws of chemistry and physics, responding to shapes and forces; brains, in other words, are in fact only syntactic engines.  A genuine semantic engine, responding directly to meanings, is like a perpetual motion machine—physically impossible. So how can brains accomplish their appointed task? By being syntactic engines that track or mimic the competence of the impossible semantic engine. But is this even possible? Some philosophers have argued that if the micro-causal story of how a brain works is complete (without any mysterious gaps), there is simply no room for meaning to make a difference	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	Swampman Meets a Cow-Shark	Suppose lightning strikes a dead tree in a swamp; I am standing nearby. My body is reduced to its elements, while entirely by coincidence (and out of different molecules) the tree is turned into my physical replica. My replica, The Swampman, moves exactly as I did. But there is a difference. My replica can’t recognize my friends; it can’t recognize anything, since it never cognized anything in the first place  These bizarre examples attempt to prove one conceptual point or another by deliberately reducing all but one underappreciated feature of some phenomenon to zero, so that what really counts can shine through. The Twin Earth example sets internal similarity to a maximum (you are whisked off to Twin Earth without being given a chance to register this huge shift) so that external context can be demonstrated to be responsible for whatever our intuitions tell us. The Swampman intuition pump keeps both future dispositions and internal states constant and reduces “history” to zero. Thus these thought experiments mimic scientific experiments in their design, attempting to isolate a crucial interaction between variables by holding other variables constant. A problem with such experiments is that the dependent variable is intuition—they are intuition pumps—and the contribution of imagination in the generation of intuitions is harder to control than philosophers have acknowledged.	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	Two Black Boxes	You didn’t have to have a semantic or intentional interpretation of the boxes to see it: a caused red, and b caused green—an obvious pattern in need of explanation. In each instance of button-pressing, the scientists understood exactly how each step in the computing and transmitting process worked, but they couldn’t explain the generalization. You do need a semantic interpretation to explain why the regularity exists. In other words, the “macro-causal” level at which the explanation is expressed does not “reduce” to the “micro-causal” level.	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
Tools For Thinking About Consciousness	Two Counter-images	Our minds don’t have a single magnificent summit, consciousness. Contrary to a tradition going back at least to Descartes in the seventeenth century, conscious phenomena are neither the most “central” nor the “highest” phenomena in our minds (Jackendoff, 1987; Dennett, 1991a). A seductive bad image needs a counter-image to neutralize it, so here is a simple imaginationadjuster to start us off: recall Cole Porter’s wonderful song “You’re the Top” and reflect that maybe you’re not the top—not the summit of the mountain, but the whole mountain, and what you know and can tell about the mountain that is you is not the view from the summit, but various views from halfway up. You might like to think of the phenomena of consciousness as rather like the fringe of hair around a bald man’s pate. Bear that in mind. Consciousness is more like fame than television: fame in the brain, cerebral celebrity, a way in which some contents come to be more influential and memorable than the competition.	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	The Zombic Hunch	Philosophers’ zombies, in contrast, can be delightful company, the life of the party, as loving and joyous and spontaneous as anybody you know. Some of your best friends might be zombies. Philosophers’ zombies are (by definition) behaviorally indistinguishable from normal conscious human beings, but “there’s nobody home”—they entirely lack any inner life, any conscious experience. They just appear from the outside to be conscious. If you agree with these philosophers that this is a serious issue, if you wonder—given the logical possibility of philosophers’ zombies—how there could ever be a scientific, materialistic theory of consciousness, then you are gripped by the Zombic Hunch.	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	ZOMBIES AND ZIMBOES	I am pretty sure that a philosophers’ zombie is conceptually incoherent, impossible, a bankrupt idea. But don’t take my word for it. What could you do to convince yourself that you can conceive of a philosophers’ zombie? Suppose you try to imagine that your friend Zeke “turns out to be” a zombie. What would convince you or even tempt you to conclude that this is so? What difference would make all the difference? Remember, nothing Zeke could do should convince you that Zeke is, or isn’t, a zombie. I find that many people don’t do this exercise correctly; that is, they inconveniently forget or set aside part of the definition of a philosophers’ zombie when they attempt their feat of conception. It may help you see if you are making this mistake if we distinguish a special subspecies of zombies that I call zimboes (Dennett, 1991a). All zombies have nonconscious (of course) control systems that extract information from the world (via their zombie eyeballs and ears) and exploit that information to avoid walking into walls and to turn when you call, and so on. They are all intentional systems, in other words. But a zimbo is special, a zombie that is also blessed with equipment that permits it to monitor its own activities, both internal and external, so it has internal (nonconscious) higher-order informational states that are about its other internal states. Further self-monitoring allows a zimbo to have and use information about those very self-monitoring states, and so on, indefinitely. A zimbo, in other words, is equipped with recursive self-representation—unconscious recursive selfrepresentation, if that makes any sense.  I can imagine that there might be two (or seven, or ninety-nine) different sorts of so-called consciousness, and lefties have one, and righties have another, and lobsters have yet another. But the only way I can imagine this (so far) is by imagining that they are distinguishable by the following functional differences: lefties can’t do X, and righties can’t do Y, and so on. But those distinguishable differences just go to show that we’re not talking about philosophical zombies after all, for (by definition) there are no distinguishable-from-the-outside differences between philosophical zombies and “genuinely conscious” people. The whole idea of a philosophical zombie is a sort of intellectual hallucination, an affliction one can outgrow.	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	The Curse of the Cauliflower	“Qualia” is a “technical” term for something that could not be more familiar to each of us: the ways things seem to us.  The very same food often tastes different to me at different times.For instance, my first sip of breakfast orange juice tastes much sweeter than my second sip if I interpose a bit of pancakes and maple syrup, but after a swallow or two of coffee, the orange juice goes back to tasting (roughly? exactly?) the way it did during the first sip. Surely (ding!) we want to say (or think about) such things, and surely (ding!) we are not wildly wrong when we do, so . . . surely (ding!) it is quite okay to talk of the way the juice tastes to Dennett at time t, and ask whether it is just the same as or different from the way the juice tastes to Dennett at time t’, or the way the juice tastes to Jones at time t. Call these ways things can seem to us qualia.  This “conclusion” seems innocent, but right here we have already made the big mistake. The final step presumes that we can isolate the “qualia” from everything else that is going on—at least in principle or for the sake of argument.   The examples that seduce us are abundant in every modality. I cannot imagine, will never know, could never know, it seems, how Bach sounded to Glenn Gould. (I can barely recover in my memory the way Bach sounded to me when I was a child.) And I cannot know, it seems, what it is like to be a bat (Nagel, 1974), or whether you see what I see, color-wise, when we look up at a clear “blue” sky. These everyday cases convince us of the reality of these special properties—those subjective tastes, looks, aromas, sounds—that we then apparently isolate for definition by this act of philosophical distillation. Thus are qualia born.	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	Vim: How Much Is That in “Real Money”?	No amount of clever engineering could endow a robot with qualia—but this is an empty victory, since there is no reason to believe such intrinsic properties exist. To see this, compare the qualia of experience to the value of money. Some naïve Americans seem to think that dollars, unlike euros and yen, have intrinsic value. The tourist in the cartoon asks, “How much is that in real money?” meaning how much is that in dollars. Every dollar, they declare, has something logically independent of the functional exchange powers it shares with all other currencies in circulation. A dollar has a certain je ne sais quoi. When you contemplate it, you can detect that it has an aura of value—less than in the olden days, perhaps, but still discernible: let’s call it the dollar’s vim (from the Latin, vis, meaning power). Officially, then, vim is the non-relational, non-dispositional, intrinsic economic value of a dollar. Pounds sterling and euros and the like have no intrinsic value—they are just symbolic stand-ins; they are redeemable for dollars, and hence have derived economic value, but they don’t have vim!  Vim is quite obviously a figment of the imagination, an artifact of the heartfelt hunches of those naïve Americans, and we can explain the artifact without honoring it.  Vitalism—the insistence that there is some big, mysterious extra ingredient in all living things, dubbed élan vital—turns out to have been a failure of imagination. How do they distinguish their conviction from the mistake of the naïve Americans? (Or are the Americans right? Dollars do have vim, as anybody can just intuit!)	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	The Sad Case of Mr. Clapgras	In short, although Clapgras does not complain about any problems of color vision, and indeed passes all standard color-naming and color-discriminating tests with, well, flying colors, he has undergone a profound inversion of all his emotional and attentional reactions to colors. What has happened to Clapgras, Dr. Chromaphil tells his amazed and skeptical colleagues, is simple: he’s undergone a total color qualia inversion, while leaving intact his merely high-level cognitive color talents—his ability to discriminate and name colors, for instance, the talents a color-sensitive robot could have.  Here is the main weakness in the philosophical methods standardly used in these cases: philosophers tend to assume that all the competences and dispositions that normal people exhibit regarding, say, colors, form a monolithic block, invulnerable to decomposition or dissociation into independent subcompetences and sub-dispositions. This handily excuses them from addressing the question of whether qualia are to be anchored to some subset or specific disposition. 	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	The Tuned Deck 	“The Tuned Deck" is the trick: ” This deck of cards is magically tuned [Hull holds the deck to his ear and riffles the cards, listening carefully to the buzz of the cards]. By their finely tuned vibrations, I can hear and feel the location of any card. Pick a card, any card. . . . [The deck is then fanned or otherwise offered for the audience, and a card is taken by a spectator, noted, and returned to the deck by one route or another.] Now I listen to the Tuned Deck, and what does it tell me? I hear the telltale vibrations, . . . [buzz, buzz, the cards are riffled by Hull’s ear and various manipulations and rituals are enacted, after which, with a flourish, the spectator’s card is presented].  Like much great magic, the trick is over before you even realize it has begun. The trick, in its entirety, is in the name, “The Tuned Deck,” and more specifically, in one word—“The”! As soon as Hull had announced his new trick and given its name to his eager audience, the trick was over. Having set up his audience in this simple way, and having passed the time with some obviously phony and misdirecting chatter about vibrations and buzz-buzz-buzz, Hull would do a relatively simple and familiar card presentation trick of type A (at this point I will draw the traditional curtain of secrecy; the further mechanical details of legerdemain, as you will see, do not matter)  Hull’s trick was introducing a single common word: “the”—for heaven’s sake! This modest monosyllable seduced his audience of experts, paralyzing their minds, preventing them from jootsing. They found themselves stuck in a system in which they were sure that they had to find a big, new trick, so they couldn’t see that their problem(s) had not one solution but many; they failed to jump out of the system.  What does the story about the Tuned Deck add to all the other intuition pumps about qualia? Just a real-life example of how very clever, knowledgeable experts can be induced to create a phantom problem simply by the way an issue is presented to them. It has happened. It can happen again. And this yields a novel perspective on the impasse, creating a new burden of proof: How do you know that you have not fallen for something like the Tuned Deck? I’m not suggesting that this is conclusive, but just that it ought to give those who credit the Zombic Hunch some second thoughts about how “obvious” it is.	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	The Chinese Room	 In 1980,  John Searle he published “Minds, Brains and Programs,” his famous Chinese Room thought experiment purporting to show that “Strong AI” was impossible. He defined Strong AI as the claim that “the appropriately programmed computer literally has cognitive states and that the programs thereby explain human cognition” (Searle, 1980, p. 417), and later clarified his definition: “the appropriately programmed digital computer with the right inputs and outputs would thereby have a mind in exactly the sense that human beings have minds”  He invites us to imagine  himself alone in a room following a computer program for responding to Chinese characters slipped under the door. Searle understands nothing of Chinese, and yet, by following the program for manipulating symbols and numerals just as a computer does, he produces appropriate strings of Chinese characters that fool those outside into thinking there is a Chinese speaker in the room. The narrow conclusion of the argument is that programming a digital computer may make it appear to understand language but does not produce real understanding. Hence the “Turing Test” is inadequate. Searle argues that the thought experiment underscores the fact that computers merely use syntactic rules to manipulate symbol strings, but have no understanding of meaning or semantics. The broader conclusion of the argument is that the theory that human minds are computer-like computational or information processing systems is refuted.   The central processing unit in your laptop doesn’t know anything about chess, but when it is running a chess program, it can beat you at chess, and so forth, for all the magnificent competences of your laptop. What Searle describes as an ideology is at the very heart of computer science, and its soundness is demonstrated in every walk of life.  We’ve turned the knob on Searle’s intuition pump that controls the level of description of the program being followed. There are always many levels. At the highest level, the comprehending powers of the system are not unimaginable; we even get insight into just how the system comes to understand what it does. The system’s reply no longer looks embarrassing; it looks obviously correct. That doesn’t mean that AI of the sort Searle was criticizing actually achieves a level of competence worth calling understanding, nor that those methods, extended in the ways then imagined by those AI researchers, would likely have led to such high competences, but just that Searle’s thought experiment doesn’t succeed in what it claims to accomplish: demonstrating the flatout impossibility of Strong AI.	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	The Teleclone Fall from Mars to Earth 	The woman  on Mars, millions of miles from home, protected from the killing, frostless cold of the red Martian desert by fragile membranes of terrestrial technology—protected but stranded, for your spaceship has broken down beyond repair. The only hope she found was the Teleclone.With nothing to lose, you set the transmitter up, flip the right switches, and step into the chamber. Five, four, three, two, one, FLASH! You open the door in front of you and step out of the Teleclone receiver chamber into the sunny, familiar atmosphere of Earth. She arrived to Earth and met her families. Later it hits her: “Am I, really, the same person who kissed this little girl good-bye three years ago? Am I this eight-year-old child’s mother or am I actually a brand new human being, only several hours old, in spite of my memories—or apparent memories—of days and years before that?” Did this child’s mother recently die on Mars, dismantled and destroyed in the chamber of a Teleclone Mark IV?  A song or a poem or a movie can undoubtedly be teleported. Is a self the sort of thing—a thing “made of information”—that can be teleported without loss? Is our reluctance to admit the teleportation of people a bit like the anachronistic resistance, recently overcome in most quarters, to electronically scanned legal signatures on documents?	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	The Self as the Center of Narrative Gravity 	What is a self?? I propose that it is the same kind of thing as a center of gravity, an abstraction that is, in spite of its abstractness, tightly coupled to the physical world. You, like every other material object, have a center of gravity (or more properly a center of mass, but we’ll ignore that nicety here). If you are top-heavy, your center of gravity is higher than average for people of your height, you have to work harder to stay upright, and so forth. There are many ways of locating your center of gravity, which, depending on such factors as the shoes you have on and when you last ate a meal, moves around in a smallish area in the middle of your body. It is a mathematical point, not an atom or molecule. The center of gravity of a length of steel pipe is not made of steel and indeed is not made of anything. It is a point in space, the point on the midline running through the center of the pipe that is equidistant from the ends (roughly, depending on imperfections, etc.). The concept of a center of gravity is a very useful thinking tool in its own right. In effect it averages over all the gravitational attractions between every particle of matter in a thing and every particle of matter on the planet, and tells us that we can boil all that down to two points—the center of the earth (its center of gravity) and the center of gravity of the thing—and calculate the behavior of the thing under varying conditions. For instance, if a thing’s center of gravity at any time falls outside all the points of its supporting base, it will topple.  What you are is that rolling sum of experience and talent, solemn intention and daydreaming fantasy, bound together in one brain and body and called by a given name. The idea that there is, in addition, a special indissoluble nugget of you, or ego, or spirit, or soul, is an attractive fantasy, but nothing that we need in order to make sense of people, their dreams and hopes, their heroism and their sins.	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	Heterophenomenology	Heterophenomenology is not an intuition pump, but another example of staging that is well worth putting in place before we tackle some difficult questions. Heterophenomenology is the study of first-person phenomena from the third-person point of view of objective science.  The core of heterophenomenology: it exploits our capacity to perform and interpret speech acts, yielding a catalogue of what the subject believes to be true about his or her conscious experience. This catalogue of beliefs fleshes out the subject’s heterophenomenological world, the world according to S, the subjective world of one subject. The total set of details of heterophenomenology, plus all the data we can gather about concurrent events in the brains of subjects and in the surrounding environment, comprise the total data set a theory of human consciousness must explain. It leaves out no objective phenomena and no subjective phenomena of consciousness.	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
	Mary the Color Scientist: A Boom Crutch Unveiled	Australian philosopher Frank Jackson’s thought experiment about Mary the color scientist, often called “the Knowledge Argument,” has been pumping philosophers’ intuitions with remarkable vigor since it first appeared in 1982: Mary is a brilliant scientist who is, for whatever reason, forced to investigate the world from a black and white room via a black and white television monitor. She specializes in the neurophysiology of vision and acquires, let us suppose, all the physical information there is to obtain about what goes on when we see ripe tomatoes, or the sky, and use terms like “red”, “blue”, and so on. She discovers, for example, just which wavelength combinations from the sky stimulate the retina, and exactly how this produces via the central nervous system the contraction of the vocal chords and expulsion of air from the lungs that results in the uttering of the sentence “The sky is blue”. What will happen when Mary is released from her black and white room or is given a color television monitor? Will she learn anything or not? It seems just obvious that she will learn something about the world and our visual experience of it. But then it is inescapable that her previous knowledge was incomplete. But she had all the physical information. Ergo there is more to have than that, and Physicalism [i.e., materialism, the denial of dualism] is false. [Jackson, 1982, p. 130]  Jackson’s intuition pump excellently exposes to the light a lot of naïve thinking about the nature of color experience and the brain that no doubt serves people well most of the time, so we might grant that he nicely draws out some of the implications of folk theory. But his aim was to refute a hypothesis about the capacity of the physical sciences to account for all color phenomena. Of course in any real-world situation, somebody in Mary’s imagined position would learn something new because however much she knew about color, there would be lots of facts about physical effects of color she didn’t know.	Philosopher Daniel Dennett's Book Intuition Pumps					1																	1			
Embrace Reality	Be a hyperrealist. 	Dreams + Reality + Determination = A Successful Life.	Ray Dalio's Book Principles					1							1													
	Truth—or, more precisely, an accurate understanding of reality—is the essential foundation for any good outcome. 		Ray Dalio's Book Principles					1							1													
	Be radically open-minded and radically transparent. 	1. Radical open-mindedness and radical transparency are invaluable for rapid learning and effective change.  2. Don’t let fears of what others think of you stand in your way.  3. Embracing radical truth and radical transparency will bring more meaningful work and more meaningful relationships. 	Ray Dalio's Book Principles					1							1													
	Look to nature to learn how reality works. 	1. Don’t get hung up on your views of how things “should” be because you will miss out on learning how they really are.  2. To be “good,” something must operate consistently with the laws of reality and contribute to the evolution of the whole; that is what is most rewarded.  3. Evolution is the single greatest force in the universe; it is the only thing that is permanent and it drives everything.  4. Evolve or die. 	Ray Dalio's Book Principles					1							1													
	Evolving is life’s greatest accomplishment and its greatest reward. 	1. The individual’s incentives must be aligned with the group’s goals.  2. Reality is optimizing for the whole—not for you.  3. Adaptation through rapid trial and error is invaluable.  4. Realize that you are simultaneously everything and nothing—and decide what you want to be.  5. What you will be will depend on the perspective you have. 	Ray Dalio's Book Principles					1							1													
	Understand nature’s practical lessons. 	1. Maximize your evolution.  2. Remember “no pain, no gain.”  3. It is a fundamental law of nature that in order to gain strength one has to push one’s limits, which is painful. 	Ray Dalio's Book Principles					1							1													
	Pain + Reflection = Progress. 	1. Go to the pain rather than avoid it.  2. Embrace tough love. 	Ray Dalio's Book Principles					1							1													
	Weigh second- and third-order consequences.		Ray Dalio's Book Principles					1							1													
	Own your outcomes. 		Ray Dalio's Book Principles					1							1													
	Look at the machine from the higher level. 	1. Think of yourself as a machine operating within a machine and know that you have the ability to alter your machines to produce better outcomes.  2. By comparing your outcomes with your goals, you can determine how to modify your machine.  3. Distinguish between you as the designer of your machine and you as a worker with your machine.  4. The biggest mistake most people make is to not see themselves and others objectively, which leads them to bump into their own and others’ weaknesses again and again.  5. Successful people are those who can go above themselves to see things objectively and manage those things to shape change.  6. Asking others who are strong in areas where you are weak to help you is a great skill that you should develop no matter what, as it will help you develop guardrails that will prevent you from doing what you shouldn’t be doing.  7. Because it is difficult to see oneself objectively, you need to rely on the input of others and the whole body of evidence.  8. If you are open-minded enough and determined, you can get virtually anything you want. 	Ray Dalio's Book Principles					1							1													
Use the 5-Step Process to Get What You Want Out of Life 	Have clear goals.	1. Prioritize: While you can have virtually anything you want, you can’t have everything you want.  2. Don’t confuse goals with desires.  3. Decide what you really want in life by reconciling your goals and your desires.  4. Don’t mistake the trappings of success for success itself.  5. Never rule out a goal because you think it’s unattainable.  6. Remember that great expectations create great capabilities.  7. Almost nothing can stop you from succeeding if you have a) flexibility and b) self-accountability.  8. Knowing how to deal well with your setbacks is as important as knowing how to move forward. 	Ray Dalio's Book Principles					1							1													
	Identify and don’t tolerate problems. 	1. View painful problems as potential improvements that are screaming at you.  2. Don’t avoid confronting problems because they are rooted in harsh realities that are unpleasant to look at.  3. Be specific in identifying your problems.  4. Don’t mistake a cause of a problem with the real problem.  5. Distinguish big problems from small ones. 6. Once you identify a problem, don’t tolerate it. 	Ray Dalio's Book Principles					1							1													
	Diagnose problems to get at their root causes. 	"1. Focus on the “what is” before deciding “what to do about it.”  2. Distinguish proximate causes from root causes.  3. Recognize that knowing what someone (including you) is like will tell you what you can expect from them."  - Ray Dalio  -----------  “A proximate cause is an event which is closest to, or immediately responsible for causing, some observed result. This exists in contrast to a higher-level ultimate cause (or distal cause) which is usually thought of as the ‘real’ reason something occurred.” (related: 5 whys — “to determine the root cause of a defect or problem by repeating the question ‘Why?’) - Gabriel Weinberg  ------------  When you’re faced with a problem, a good product manager will always ask “Why?” five times. Going through the “5 Whys” helps you understand the core symptom behind a problem, not just its surface consequences. Let’s say you get an angry email from a customer who is annoyed because they didn’t get a delivery until two hours after the close of their delivery window. You file the problem away in your brain: Problem: A customer is upset because their delivery was late.  A busy PM who is not following the “5 Whys” mental model would probably make a quick decision to do whatever it took to make the situation resolve itself quickly—give a refund, offer a future discount, etc. That would get the problem solved, but only until the same problem arises with another customer. A PM who is thinking about the future and knows the “5 Whys” model would go through a process of questioning to help identify the root problem: Problem: A customer is upset because their delivery was late.  Why? Because they didn’t know it was going to be late, so they wasted their hour-long break from work waiting for us. Why? Because no email notification was ever triggered even when we recognized that their delivery was going to be late. Why? Because our email notification system pulls transaction data to confirm orders. But it doesn’t pull information from our logistics stack to tell us if an order is going to be delayed. Why? Because we’ve relied on drivers to tell customers when they believe they’re going to be late to a delivery. Why? Because when we were smaller, this kind of compromise made sense. Building out this notification system was generally less expensive than dealing with manual notifications.  This kind of questioning is powerful. It takes us from a surface problem that we can make go away quickly (with no learnings) to one that reveals a deeper, systematic, scaling issue—one that will recur unless changes are made.  - Hiten Shah 	Ray Dalio's Book Principles via http://amzn.to/2zx380n  ---  Gabriel Weinberg's Mental Models I Find Repeatedly Useful via https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d   -------  Hiten Shah's 3 Mental Models Every PM Needs to Make Decisions https://amplitude.com/blog/2017/11/09/mental-models-help-pm-make-decisions 					3							1							1					1	
	Design a plan. 	1. Go back before you go forward.  2. Think about your problem as a set of outcomes produced by a machine.  3. Remember that there are typically many paths to achieving your goals.  4. Think of your plan as being like a movie script in that you visualize who will do what through time.  5. Write down your plan for everyone to see and to measure your progress against.  6. Recognize that it doesn’t take a lot of time to design a good plan.	Ray Dalio's Book Principles					1							1													
	Push through to completion. 	1. Great planners who don’t execute their plans go nowhere.  2. Good work habits are vastly underrated.  3. Establish clear metrics to make certain that you are following your plan. 	Ray Dalio's Book Principles					1							1													
	Remember that weaknesses don’t matter if you find solutions. 	1. Look at the patterns of your mistakes and identify at which step in the 5-Step Process you typically fail.  2. Everyone has at least one big thing that stands in the way of their success; find yours and deal with it. 	Ray Dalio's Book Principles					1							1													
	Understand your own and others’ mental maps and humility. 		Ray Dalio's Book Principles					1							1													
Be Radically Open-Minded 	Recognize your two barriers. 	1. Understand your ego barrier.  2. Your two “yous” fight to control you.  3. Understand your blind spot barrier. 	Ray Dalio's Book Principles					1							1													
	Practice radical open-mindedness. 	1. Sincerely believe that you might not know the best possible path and recognize that your ability to deal well with “not knowing” is more important than whatever it is you do know.  2. Recognize that decision making is a two-step process: First take in all the relevant information, then decide.  3. Don’t worry about looking good; worry about achieving your goal.  4. Realize that you can’t put out without taking in.  5. Recognize that to gain the perspective that comes from seeing things through another’s eyes, you must suspend judgment for a time—only by empathizing can you properly evaluate another point of view.  6. Remember that you’re looking for the best answer, not simply the best answer that you can come up with yourself.  7. Be clear on whether you are arguing or seeking to understand, and think about which is most appropriate based on your and others’ believability. 	Ray Dalio's Book Principles					1							1													
	Appreciate the art of thoughtful disagreement. 		Ray Dalio's Book Principles					1							1													
	Triangulate your view with believable people who are willing to disagree. 	Plan for the worst-case scenario to make it as good as possible. 	Ray Dalio's Book Principles					1							1													
	Recognize the signs of closed-mindedness and open-mindedness that you should watch out for. 		Ray Dalio's Book Principles					1							1													
	Understand how you can become radically open-minded. 	1. Regularly use pain as your guide toward quality reflection.  2. Make being open-minded a habit.  3. Get to know your blind spots.  4. If a number of different believable people say you are doing something wrong and you are the only one who doesn’t see it that way, assume that you are probably biased.  5. Meditate.  6. Be evidence-based and encourage others to be the same.  7. Do everything in your power to help others also be open-minded. h. Use evidence-based decision-making tools. i. Know when it’s best to stop fighting and have faith in your decision-making process. 	Ray Dalio's Book Principles					1							1													
Trust in Radical Truth and Radical Transparency 	Realize that you have nothing to fear from knowing the truth.		Ray Dalio's Book Principles					1							1													
	Have integrity and demand it from others. 	1. Never say anything about someone that you wouldn’t say to them directly and don’t try people without accusing them to their faces.  2. Don’t let loyalty to people stand in the way of truth and the well-being of the organization. 	Ray Dalio's Book Principles					1							1													
	Create an environment in which everyone has the right to understand what makes sense and no one has the right to hold a critical opinion without speaking up. 	1. Speak up, own it, or get out.  2. Be extremely open.  3. Don’t be naive about dishonesty. 	Ray Dalio's Book Principles					1							1													
	Be radically transparent. 	1. Use transparency to help enforce justice.  2. Share the things that are hardest to share.  3. Keep exceptions to radical transparency very rare.  4. Make sure those who are given radical transparency recognize their responsibilities to handle it well and to weigh things intelligently.  5. Provide transparency to people who handle it well and either deny it to people who don’t handle it well or remove those people from the organization.  6. Don’t share sensitive information with the organization’s enemies. 	Ray Dalio's Book Principles					1							1													
	Meaningful relationships and meaningful work are mutually reinforcing, especially when supported by radical truth and radical transparency.		Ray Dalio's Book Principles					1							1													
Cultivate Meaningful Work and Meaningful Relationships	Be loyal to the common mission and not to anyone who is not operating consistently with it. 		Ray Dalio's Book Principles					1							1													
	Be crystal clear on what the deal is. 	1. Make sure people give more consideration to others than they demand for themselves.  2. Make sure that people understand the difference between fairness and generosity.  3. Know where the line is and be on the far side of fair.  4. Pay for work. 	Ray Dalio's Book Principles					1							1													
	Recognize that the size of the organization can pose a threat to meaningful relationships.		Ray Dalio's Book Principles					1							1													
